Temperature	Resistance
333.066	2774.432
332.888	2491.982
335.511	2386.688
340.575	2314.798
345.776	2252.017
355.607	2193.288
364.614	2140.632
374.225	2102.151
384.278	2085.939
394.584	2045.434
405.005	2011.006
415.441	1988.724
425.866	1950.249
436.165	1948.213
446.310	1911.764
456.268	1916.815
466.025	1878.343
475.559	1867.200
484.714	1840.876
493.744	1831.757
502.516	1818.592
511.050	1798.342
519.321	1780.117
527.354	1768.977
535.138	1746.703
542.685	1737.587
549.997	1731.509
557.087	1715.309
563.943	1693.038
570.595	1681.899
577.045	1672.785
583.314	1668.731
589.400	1654.556
595.306	1638.358
600.907	1625.195
607.273	1603.936
612.603	1608.993
618.635	1593.808
623.751	1585.707
628.727	1555.339
633.570	1543.190
638.276	1538.126
643.116	1549.254
647.574	1520.912
651.901	1495.606
656.129	1531.026
660.246	1468.272
664.265	1499.644
667.878	1459.156
669.981	1466.238
670.670	1454.090
669.801	1430.811
668.102	1428.781
666.569	1407.525
665.213	1403.473
664.415	1394.360
664.106	1391.322
664.391	1379.174
665.064	1362.977
665.804	1373.096
666.405	1349.816
666.646	1339.691
665.253	1324.508
662.403	1314.385
659.034	1308.312
654.568	1293.126
649.640	1275.919
644.560	1289.073
638.647	1265.794
629.671	1270.852
626.984	1263.765
621.674	1250.606
616.362	1248.580
602.133	1228.337
606.500	1225.299
601.306	1218.212
596.357	1191.897
591.456	1186.835
586.634	1178.737
581.906	1179.747
577.265	1177.720
572.719	1169.624
563.857	1163.549
559.842	1147.354
556.273	1157.473
552.122	1137.231
548.881	1142.290
544.870	1131.155
540.919	1120.022
537.045	1126.093
533.225	1114.959
529.433	1097.753
525.712	1107.872
522.069	1085.606
518.412	1096.737
514.917	1085.603
511.475	1074.471
508.080	1084.589
504.715	1065.359
501.451	1069.406
498.271	1059.285
495.090	1050.176
491.966	1043.090
488.850	1059.283
485.755	1038.028
482.794	1043.087
479.864	1037.014
476.943	1043.086
474.068	1027.905
471.291	1021.831
468.550	1033.975
465.847	1005.638
463.169	993.493
460.531	1006.648
457.931	1001.586
455.370	1004.621
452.846	992.477
450.400	993.488
