Temperature	Resistance
444.282	24416.311
447.592	22994.641
452.262	21056.369
457.998	18516.289
464.563	16020.530
471.686	13379.260
479.172	11417.920
486.952	9950.300
494.848	8683.253
502.824	7825.732
510.790	6755.199
518.695	5988.550
526.474	5314.498
534.096	4638.319
541.535	4055.945
548.773	3780.595
555.815	3629.210
562.487	3211.277
569.236	2962.745
575.474	3099.357
581.685	3271.789
587.718	3293.242
593.581	3121.716
599.247	4235.661
604.708	3919.328
610.012	3712.587
615.181	3522.545
620.187	5610.983
625.065	5424.782
629.761	6080.113
634.312	28925.600
638.679	24317.119
642.858	24891.090
646.909	23560.279
650.775	20980.830
654.540	20696.490
658.233	20112.490
661.805	20170.770
665.045	309964.687
667.962	476583.906
669.832	367281.812
670.398	468187.187
669.498	525685.312
667.956	648074.000
666.007	551968.875
662.868	687976.125
658.884	478399.187
654.194	261584.000
649.142	477396.312
643.965	520574.000
638.488	896060.687
