B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.774000E+3,-671.390000E-6,557.903000E-6,0
3.774000E+3,-732.426000E-6,526.432000E-6,500
3.774000E+3,-686.649000E-6,517.849000E-6,1000
3.774000E+3,-587.467000E-6,533.108000E-6,1500
3.774000E+3,-694.279000E-6,608.448000E-6,2000
3.774000E+3,-701.908000E-6,699.047000E-6,2500
3.774000E+3,-640.873000E-6,768.665000E-6,3000
3.774000E+3,-679.020000E-6,759.128000E-6,3500
3.774000E+3,-633.243000E-6,779.156000E-6,4000
3.774000E+3,-572.208000E-6,855.450000E-6,4500
3.774000E+3,-549.320000E-6,816.349000E-6,5000
3.774000E+3,-617.985000E-6,775.341000E-6,5500
3.774000E+3,-648.502000E-6,628.475000E-6,6000
3.774000E+3,-648.502000E-6,514.034000E-6,6500
3.774000E+3,-579.838000E-6,509.266000E-6,7000
3.774000E+3,-549.320000E-6,580.791000E-6,7500
3.774000E+3,-556.950000E-6,611.309000E-6,8000
3.774000E+3,-587.467000E-6,571.255000E-6,8500
3.774000E+3,-648.502000E-6,457.766000E-6,9000
3.774000E+3,-663.761000E-6,493.053000E-6,9500
3.774000E+3,-640.873000E-6,453.951000E-6,10000
3.774000E+3,-656.132000E-6,495.914000E-6,10500
3.774000E+3,-633.243000E-6,650.410000E-6,11000
3.775000E+3,-579.838000E-6,765.804000E-6,11500
3.775000E+3,-549.320000E-6,705.723000E-6,12000
3.775000E+3,-473.024000E-6,632.290000E-6,12500
3.775000E+3,-427.248000E-6,571.255000E-6,13000
3.775000E+3,-396.730000E-6,586.513000E-6,13500
3.774000E+3,-434.877000E-6,596.050000E-6,14000
3.774000E+3,-488.285000E-6,602.726000E-6,14500
3.774000E+3,-450.136000E-6,539.783000E-6,15000
3.774000E+3,-419.619000E-6,548.366000E-6,15500
3.773000E+3,-526.432000E-6,540.737000E-6,16000
3.773000E+3,-640.873000E-6,457.766000E-6,16500
3.773000E+3,-717.167000E-6,464.441000E-6,17000
3.772000E+3,-793.461000E-6,424.387000E-6,17500
3.772000E+3,-846.867000E-6,384.333000E-6,18000
3.772000E+3,-885.013000E-6,471.117000E-6,18500
3.772000E+3,-953.678000E-6,538.830000E-6,19000
3.771000E+3,-946.049000E-6,594.143000E-6,19500
3.771000E+3,-1.060490E-3,658.039000E-6,20000
3.771000E+3,-1.167300E-3,531.200000E-6,20500
3.771000E+3,-1.213080E-3,424.387000E-6,21000
3.770000E+3,-1.319890E-3,453.951000E-6,21500
3.770000E+3,-1.411450E-3,542.644000E-6,22000
3.770000E+3,-1.411450E-3,543.598000E-6,22500
3.770000E+3,-1.441960E-3,551.227000E-6,23000
3.769000E+3,-1.464850E-3,475.885000E-6,23500
3.769000E+3,-1.373300E-3,477.793000E-6,24000
3.769000E+3,-1.052860E-3,531.200000E-6,24500
3.768000E+3,-465.395000E-6,615.124000E-6,25000
3.768000E+3,160.218000E-6,700.001000E-6,25500
3.768000E+3,724.796000E-6,819.210000E-6,26000
3.768000E+3,1.205450E-3,859.264000E-6,26500
3.767000E+3,1.518260E-3,843.052000E-6,27000
3.767000E+3,1.625070E-3,898.365000E-6,27500
3.767000E+3,1.594550E-3,896.458000E-6,28000
3.766000E+3,1.426700E-3,898.365000E-6,28500
3.766000E+3,1.235970E-3,891.689000E-6,29000
3.766000E+3,1.129160E-3,834.469000E-6,29500
3.766000E+3,1.075750E-3,775.341000E-6,30000
3.765000E+3,946.049000E-6,844.005000E-6,30500
3.765000E+3,686.649000E-6,835.422000E-6,31000
3.765000E+3,427.248000E-6,705.723000E-6,31500
3.765000E+3,213.624000E-6,685.696000E-6,32000
3.764000E+3,-15.258900E-6,693.325000E-6,32500
3.764000E+3,-297.548000E-6,603.680000E-6,33000
3.764000E+3,-610.355000E-6,568.394000E-6,33500
3.764000E+3,-946.049000E-6,483.515000E-6,34000
3.763000E+3,-1.426700E-3,499.729000E-6,34500
3.763000E+3,-1.968400E-3,497.822000E-6,35000
3.763000E+3,-3.166210E-3,415.804000E-6,35500
3.763000E+3,-5.203280E-3,212.670000E-6,36000
3.762000E+3,-7.507350E-3,-99.182600E-6,36500
3.762000E+3,-8.934080E-3,-294.687000E-6,37000
3.762000E+3,-8.194030E-3,-242.234000E-6,37500
3.761000E+3,-5.126980E-3,108.719000E-6,38000
3.761000E+3,-442.507000E-6,684.742000E-6,38500
3.761000E+3,4.272490E-3,1.331340E-3,39000
3.761000E+3,7.675200E-3,1.636510E-3,39500
3.760000E+3,8.773860E-3,1.564990E-3,40000
3.760000E+3,7.682830E-3,1.380930E-3,40500
3.760000E+3,5.584750E-3,1.259810E-3,41000
3.759000E+3,3.593460E-3,1.087200E-3,41500
3.759000E+3,2.143870E-3,937.466000E-6,42000
3.759000E+3,1.113900E-3,855.450000E-6,42500
3.759000E+3,427.248000E-6,823.025000E-6,43000
3.758000E+3,-7.629450E-6,750.545000E-6,43500
3.758000E+3,-267.031000E-6,696.186000E-6,44000
3.758000E+3,-427.248000E-6,696.186000E-6,44500
3.758000E+3,-602.726000E-6,663.761000E-6,45000
3.757000E+3,-686.649000E-6,668.529000E-6,45500
3.757000E+3,-770.573000E-6,606.541000E-6,46000
3.757000E+3,-862.125000E-6,612.263000E-6,46500
3.756000E+3,-953.678000E-6,598.911000E-6,47000
3.756000E+3,-1.205450E-3,512.127000E-6,47500
3.756000E+3,-1.480110E-3,432.970000E-6,48000
3.755000E+3,-1.800540E-3,466.349000E-6,48500
3.755000E+3,-1.983660E-3,504.497000E-6,49000
3.755000E+3,-2.037060E-3,502.590000E-6,49500
3.755000E+3,-1.899730E-3,452.043000E-6,50000
3.754000E+3,-1.731880E-3,509.266000E-6,50500
3.754000E+3,-1.327520E-3,614.170000E-6,51000
3.754000E+3,-686.649000E-6,589.374000E-6,51500
3.753000E+3,-38.147200E-6,665.668000E-6,52000
3.753000E+3,473.024000E-6,756.267000E-6,52500
3.753000E+3,892.643000E-6,740.055000E-6,53000
3.753000E+3,1.297000E-3,658.993000E-6,53500
3.752000E+3,1.556400E-3,635.151000E-6,54000
3.752000E+3,1.739510E-3,761.036000E-6,54500
3.752000E+3,1.800540E-3,845.913000E-6,55000
3.752000E+3,1.564030E-3,841.144000E-6,55500
3.751000E+3,1.365670E-3,847.820000E-6,56000
3.751000E+3,1.106270E-3,875.477000E-6,56500
3.751000E+3,930.790000E-6,843.052000E-6,57000
3.750000E+3,816.349000E-6,787.739000E-6,57500
3.750000E+3,755.314000E-6,715.259000E-6,58000
3.750000E+3,701.908000E-6,679.020000E-6,58500
3.750000E+3,679.020000E-6,728.611000E-6,59000
3.749000E+3,617.985000E-6,774.387000E-6,59500
3.749000E+3,579.838000E-6,712.398000E-6,60000
3.749000E+3,495.914000E-6,717.167000E-6,60500
3.749000E+3,373.842000E-6,689.510000E-6,61000
3.748000E+3,213.624000E-6,627.521000E-6,61500
3.748000E+3,68.665000E-6,606.541000E-6,62000
3.748000E+3,45.776600E-6,658.039000E-6,62500
3.747000E+3,15.258900E-6,759.128000E-6,63000
3.747000E+3,0.000000E+0,739.101000E-6,63500
3.747000E+3,-15.258900E-6,715.259000E-6,64000
3.747000E+3,-99.182600E-6,651.363000E-6,64500
3.746000E+3,-160.218000E-6,728.611000E-6,65000
3.746000E+3,-267.031000E-6,761.990000E-6,65500
