B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.811000E+3,152.589000E-6,-488.285000E-6,0
3.811000E+3,7.629450E-6,-353.815000E-6,500
3.811000E+3,-114.441000E-6,-329.020000E-6,1000
3.811000E+3,-137.330000E-6,-280.382000E-6,1500
3.811000E+3,-53.406000E-6,-225.068000E-6,2000
3.811000E+3,53.406000E-6,-361.444000E-6,2500
3.811000E+3,99.182600E-6,-433.924000E-6,3000
3.811000E+3,-7.629450E-6,-358.583000E-6,3500
3.811000E+3,-129.701000E-6,-342.371000E-6,4000
3.811000E+3,-160.218000E-6,-432.016000E-6,4500
3.811000E+3,-160.218000E-6,-491.146000E-6,5000
3.811000E+3,-160.218000E-6,-404.360000E-6,5500
3.811000E+3,-61.035600E-6,-209.809000E-6,6000
3.811000E+3,-45.776600E-6,-134.469000E-6,6500
3.811000E+3,7.629450E-6,-108.719000E-6,7000
3.811000E+3,152.589000E-6,-80.109100E-6,7500
3.810000E+3,106.812000E-6,-73.433400E-6,8000
3.810000E+3,190.736000E-6,-93.460500E-6,8500
3.810000E+3,183.106000E-6,-254.633000E-6,9000
3.810000E+3,137.330000E-6,-390.055000E-6,9500
3.809000E+3,160.218000E-6,-431.063000E-6,10000
3.809000E+3,152.589000E-6,-410.082000E-6,10500
3.809000E+3,-38.147200E-6,-337.603000E-6,11000
3.809000E+3,-106.812000E-6,-343.325000E-6,11500
3.808000E+3,-83.923800E-6,-361.444000E-6,12000
3.808000E+3,-213.624000E-6,-349.047000E-6,12500
3.808000E+3,-289.919000E-6,-388.147000E-6,13000
3.807000E+3,-213.624000E-6,-480.654000E-6,13500
3.807000E+3,-213.624000E-6,-520.710000E-6,14000
3.807000E+3,-267.031000E-6,-433.924000E-6,14500
3.807000E+3,-312.807000E-6,-350.954000E-6,15000
3.806000E+3,-320.436000E-6,-361.444000E-6,15500
3.806000E+3,-289.919000E-6,-432.016000E-6,16000
3.806000E+3,-221.253000E-6,-438.692000E-6,16500
3.806000E+3,-267.031000E-6,-540.737000E-6,17000
3.805000E+3,-297.548000E-6,-556.950000E-6,17500
3.805000E+3,-267.031000E-6,-532.154000E-6,18000
3.805000E+3,-122.071000E-6,-536.922000E-6,18500
3.804000E+3,-83.923800E-6,-445.368000E-6,19000
3.804000E+3,-61.035600E-6,-439.646000E-6,19500
3.804000E+3,-76.294400E-6,-471.117000E-6,20000
3.804000E+3,-53.406000E-6,-456.812000E-6,20500
3.803000E+3,22.888300E-6,-527.386000E-6,21000
3.803000E+3,-22.888300E-6,-573.162000E-6,21500
3.803000E+3,-68.665000E-6,-494.007000E-6,22000
3.803000E+3,45.776600E-6,-441.553000E-6,22500
3.802000E+3,137.330000E-6,-372.889000E-6,23000
3.802000E+3,137.330000E-6,-274.660000E-6,23500
3.802000E+3,160.218000E-6,-264.170000E-6,24000
3.801000E+3,167.848000E-6,-329.020000E-6,24500
3.801000E+3,99.182600E-6,-370.981000E-6,25000
3.801000E+3,61.035600E-6,-263.216000E-6,25500
3.801000E+3,167.848000E-6,-106.812000E-6,26000
3.800000E+3,144.959000E-6,-102.044000E-6,26500
3.800000E+3,68.665000E-6,-205.995000E-6,27000
3.800000E+3,7.629450E-6,-244.142000E-6,27500
3.799000E+3,15.258900E-6,-266.077000E-6,28000
3.799000E+3,7.629450E-6,-191.689000E-6,28500
3.799000E+3,-15.258900E-6,-80.109100E-6,29000
3.799000E+3,-76.294400E-6,-131.608000E-6,29500
3.798000E+3,-175.477000E-6,-250.818000E-6,30000
3.798000E+3,-343.325000E-6,-244.142000E-6,30500
3.798000E+3,-404.360000E-6,-300.409000E-6,31000
3.797000E+3,-411.989000E-6,-518.803000E-6,31500
3.797000E+3,-595.096000E-6,-617.985000E-6,32000
3.797000E+3,-770.573000E-6,-622.753000E-6,32500
3.797000E+3,-808.720000E-6,-494.007000E-6,33000
3.796000E+3,-808.720000E-6,-434.877000E-6,33500
3.796000E+3,-846.867000E-6,-476.839000E-6,34000
3.796000E+3,-930.790000E-6,-509.266000E-6,34500
3.796000E+3,-1.144420E-3,-429.155000E-6,35000
3.795000E+3,-1.106270E-3,-403.406000E-6,35500
3.795000E+3,-877.384000E-6,-428.202000E-6,36000
3.795000E+3,-579.838000E-6,-449.182000E-6,36500
3.794000E+3,-267.031000E-6,-487.329000E-6,37000
3.794000E+3,106.812000E-6,-462.534000E-6,37500
3.794000E+3,602.726000E-6,-365.259000E-6,38000
3.794000E+3,1.052860E-3,-328.066000E-6,38500
3.793000E+3,1.396190E-3,-259.401000E-6,39000
3.793000E+3,1.586920E-3,-167.848000E-6,39500
3.793000E+3,1.762400E-3,-111.580000E-6,40000
3.792000E+3,1.869210E-3,-80.109100E-6,40500
3.792000E+3,1.792920E-3,-214.578000E-6,41000
3.792000E+3,1.617440E-3,-252.726000E-6,41500
3.792000E+3,1.472480E-3,-139.237000E-6,42000
3.791000E+3,1.449590E-3,14.305200E-6,42500
3.791000E+3,1.403820E-3,61.989300E-6,43000
3.791000E+3,1.312260E-3,-38.147200E-6,43500
3.790000E+3,1.106270E-3,-209.809000E-6,44000
3.790000E+3,1.029980E-3,-247.957000E-6,44500
3.790000E+3,1.052860E-3,-221.253000E-6,45000
3.790000E+3,1.083380E-3,-267.031000E-6,45500
3.789000E+3,999.458000E-6,-281.336000E-6,46000
3.789000E+3,740.055000E-6,-227.929000E-6,46500
3.789000E+3,602.726000E-6,-265.123000E-6,47000
3.788000E+3,495.914000E-6,-263.216000E-6,47500
3.788000E+3,526.432000E-6,-313.761000E-6,48000
3.788000E+3,488.285000E-6,-371.935000E-6,48500
3.788000E+3,419.619000E-6,-353.815000E-6,49000
3.787000E+3,457.766000E-6,-320.436000E-6,49500
3.787000E+3,457.766000E-6,-285.150000E-6,50000
3.787000E+3,404.360000E-6,-250.818000E-6,50500
3.786000E+3,434.877000E-6,-266.077000E-6,51000
3.786000E+3,450.136000E-6,-233.651000E-6,51500
3.786000E+3,488.285000E-6,-311.853000E-6,52000
3.786000E+3,511.173000E-6,-361.444000E-6,52500
3.785000E+3,450.136000E-6,-284.197000E-6,53000
3.785000E+3,289.919000E-6,-339.510000E-6,53500
3.785000E+3,221.253000E-6,-314.714000E-6,54000
3.784000E+3,152.589000E-6,-319.483000E-6,54500
3.784000E+3,68.665000E-6,-242.234000E-6,55000
