B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.843000E+3,480.654000E-6,-322.344000E-6,0
3.843000E+3,473.024000E-6,-245.096000E-6,500
3.843000E+3,419.619000E-6,-277.521000E-6,1000
3.843000E+3,358.583000E-6,-346.186000E-6,1500
3.843000E+3,343.325000E-6,-483.515000E-6,2000
3.843000E+3,366.213000E-6,-554.089000E-6,2500
3.843000E+3,434.877000E-6,-421.526000E-6,3000
3.843000E+3,411.989000E-6,-275.614000E-6,3500
3.843000E+3,381.472000E-6,-239.373000E-6,4000
3.843000E+3,366.213000E-6,-221.253000E-6,4500
3.843000E+3,480.654000E-6,-281.336000E-6,5000
3.843000E+3,556.950000E-6,-330.927000E-6,5500
3.843000E+3,503.544000E-6,-235.558000E-6,6000
3.844000E+3,404.360000E-6,-368.120000E-6,6500
3.843000E+3,358.583000E-6,-461.580000E-6,7000
3.843000E+3,457.766000E-6,-372.889000E-6,7500
3.844000E+3,366.213000E-6,-346.186000E-6,8000
3.843000E+3,381.472000E-6,-387.194000E-6,8500
3.844000E+3,419.619000E-6,-409.128000E-6,9000
3.843000E+3,381.472000E-6,-494.007000E-6,9500
3.844000E+3,480.654000E-6,-487.329000E-6,10000
3.844000E+3,572.208000E-6,-400.545000E-6,10500
3.844000E+3,610.355000E-6,-313.761000E-6,11000
3.844000E+3,549.320000E-6,-285.150000E-6,11500
3.843000E+3,373.842000E-6,-407.221000E-6,12000
3.843000E+3,320.436000E-6,-463.488000E-6,12500
3.843000E+3,274.660000E-6,-422.480000E-6,13000
3.843000E+3,328.066000E-6,-309.946000E-6,13500
3.843000E+3,373.842000E-6,-326.158000E-6,14000
3.843000E+3,473.024000E-6,-485.422000E-6,14500
3.843000E+3,526.432000E-6,-606.541000E-6,15000
3.843000E+3,572.208000E-6,-676.159000E-6,15500
3.843000E+3,503.544000E-6,-656.132000E-6,16000
3.842000E+3,419.619000E-6,-568.394000E-6,16500
3.842000E+3,473.024000E-6,-547.413000E-6,17000
3.842000E+3,503.544000E-6,-632.290000E-6,17500
3.842000E+3,411.989000E-6,-614.170000E-6,18000
3.842000E+3,328.066000E-6,-592.235000E-6,18500
3.842000E+3,427.248000E-6,-520.710000E-6,19000
3.842000E+3,473.024000E-6,-470.163000E-6,19500
3.841000E+3,442.507000E-6,-473.978000E-6,20000
3.841000E+3,534.061000E-6,-395.777000E-6,20500
3.841000E+3,549.320000E-6,-400.545000E-6,21000
3.841000E+3,534.061000E-6,-503.544000E-6,21500
3.841000E+3,488.285000E-6,-608.448000E-6,22000
3.841000E+3,434.877000E-6,-629.429000E-6,22500
3.841000E+3,411.989000E-6,-468.256000E-6,23000
3.840000E+3,366.213000E-6,-314.714000E-6,23500
3.840000E+3,465.395000E-6,-316.622000E-6,24000
3.840000E+3,480.654000E-6,-419.619000E-6,24500
3.840000E+3,495.914000E-6,-493.053000E-6,25000
3.840000E+3,633.243000E-6,-441.553000E-6,25500
3.840000E+3,579.838000E-6,-423.433000E-6,26000
3.840000E+3,411.989000E-6,-480.654000E-6,26500
3.839000E+3,404.360000E-6,-367.166000E-6,27000
3.839000E+3,389.101000E-6,-287.058000E-6,27500
3.839000E+3,381.472000E-6,-439.646000E-6,28000
3.839000E+3,328.066000E-6,-494.961000E-6,28500
3.839000E+3,289.919000E-6,-397.684000E-6,29000
3.839000E+3,312.807000E-6,-383.379000E-6,29500
3.839000E+3,381.472000E-6,-383.379000E-6,30000
3.839000E+3,396.730000E-6,-190.736000E-6,30500
3.838000E+3,312.807000E-6,-164.033000E-6,31000
3.838000E+3,297.548000E-6,-359.537000E-6,31500
3.838000E+3,236.512000E-6,-518.803000E-6,32000
3.838000E+3,152.589000E-6,-532.154000E-6,32500
3.838000E+3,198.365000E-6,-436.785000E-6,33000
3.838000E+3,366.213000E-6,-354.769000E-6,33500
3.837000E+3,442.507000E-6,-314.714000E-6,34000
3.837000E+3,526.432000E-6,-314.714000E-6,34500
3.837000E+3,572.208000E-6,-436.785000E-6,35000
3.837000E+3,564.579000E-6,-478.746000E-6,35500
3.837000E+3,549.320000E-6,-377.657000E-6,36000
3.837000E+3,381.472000E-6,-461.580000E-6,36500
3.837000E+3,312.807000E-6,-483.515000E-6,37000
3.836000E+3,312.807000E-6,-433.924000E-6,37500
3.836000E+3,373.842000E-6,-436.785000E-6,38000
3.836000E+3,495.914000E-6,-516.895000E-6,38500
3.836000E+3,534.061000E-6,-642.780000E-6,39000
3.836000E+3,480.654000E-6,-604.633000E-6,39500
3.836000E+3,389.101000E-6,-482.561000E-6,40000
3.836000E+3,335.695000E-6,-370.027000E-6,40500
3.835000E+3,366.213000E-6,-279.428000E-6,41000
3.835000E+3,427.248000E-6,-305.178000E-6,41500
3.835000E+3,473.024000E-6,-414.850000E-6,42000
3.835000E+3,473.024000E-6,-448.229000E-6,42500
3.835000E+3,427.248000E-6,-423.433000E-6,43000
3.835000E+3,312.807000E-6,-424.387000E-6,43500
3.835000E+3,221.253000E-6,-334.742000E-6,44000
3.834000E+3,312.807000E-6,-380.518000E-6,44500
3.834000E+3,427.248000E-6,-445.368000E-6,45000
3.834000E+3,503.544000E-6,-367.166000E-6,45500
3.834000E+3,473.024000E-6,-402.452000E-6,46000
3.834000E+3,434.877000E-6,-443.460000E-6,46500
3.834000E+3,358.583000E-6,-472.071000E-6,47000
3.833000E+3,259.401000E-6,-404.360000E-6,47500
3.833000E+3,419.619000E-6,-341.417000E-6,48000
3.833000E+3,572.208000E-6,-339.510000E-6,48500
3.833000E+3,556.950000E-6,-332.834000E-6,49000
3.833000E+3,488.285000E-6,-289.919000E-6,49500
3.833000E+3,404.360000E-6,-298.502000E-6,50000
3.833000E+3,396.730000E-6,-292.780000E-6,50500
3.832000E+3,480.654000E-6,-365.259000E-6,51000
3.832000E+3,579.838000E-6,-511.173000E-6,51500
3.832000E+3,663.761000E-6,-517.849000E-6,52000
3.832000E+3,633.243000E-6,-464.441000E-6,52500
3.832000E+3,434.877000E-6,-536.922000E-6,53000
3.832000E+3,297.548000E-6,-556.950000E-6,53500
3.832000E+3,320.436000E-6,-498.775000E-6,54000
3.831000E+3,373.842000E-6,-418.665000E-6,54500
3.831000E+3,343.325000E-6,-305.178000E-6,55000
3.831000E+3,289.919000E-6,-342.371000E-6,55500
3.831000E+3,289.919000E-6,-358.583000E-6,56000
3.831000E+3,366.213000E-6,-356.676000E-6,56500
3.831000E+3,427.248000E-6,-404.360000E-6,57000
3.831000E+3,473.024000E-6,-489.239000E-6,57500
3.830000E+3,450.136000E-6,-444.414000E-6,58000
3.830000E+3,373.842000E-6,-410.082000E-6,58500
3.830000E+3,312.807000E-6,-445.368000E-6,59000
3.830000E+3,267.031000E-6,-387.194000E-6,59500
3.830000E+3,312.807000E-6,-349.047000E-6,60000
3.830000E+3,282.289000E-6,-358.583000E-6,60500
3.830000E+3,251.772000E-6,-437.738000E-6,61000
3.830000E+3,251.772000E-6,-394.823000E-6,61500
3.829000E+3,297.548000E-6,-356.676000E-6,62000
3.829000E+3,427.248000E-6,-447.275000E-6,62500
3.829000E+3,495.914000E-6,-457.766000E-6,63000
3.829000E+3,465.395000E-6,-404.360000E-6,63500
3.829000E+3,473.024000E-6,-449.182000E-6,64000
3.829000E+3,389.101000E-6,-476.839000E-6,64500
3.829000E+3,251.772000E-6,-413.897000E-6,65000
3.829000E+3,289.919000E-6,-448.229000E-6,65500
3.828000E+3,366.213000E-6,-388.147000E-6,66000
3.828000E+3,381.472000E-6,-415.804000E-6,66500
3.828000E+3,236.512000E-6,-331.881000E-6,67000
3.828000E+3,236.512000E-6,-256.540000E-6,67500
3.828000E+3,328.066000E-6,-398.638000E-6,68000
3.828000E+3,411.989000E-6,-480.654000E-6,68500
3.828000E+3,366.213000E-6,-370.027000E-6,69000
3.827000E+3,343.325000E-6,-312.807000E-6,69500
3.827000E+3,366.213000E-6,-268.938000E-6,70000
3.827000E+3,373.842000E-6,-134.469000E-6,70500
3.827000E+3,343.325000E-6,-194.550000E-6,71000
3.827000E+3,274.660000E-6,-321.390000E-6,71500
3.827000E+3,305.178000E-6,-388.147000E-6,72000
3.827000E+3,343.325000E-6,-362.398000E-6,72500
3.826000E+3,419.619000E-6,-402.452000E-6,73000
3.826000E+3,442.507000E-6,-505.451000E-6,73500
3.826000E+3,389.101000E-6,-448.229000E-6,74000
3.826000E+3,366.213000E-6,-280.382000E-6,74500
3.826000E+3,350.954000E-6,-322.344000E-6,75000
3.826000E+3,305.178000E-6,-450.136000E-6,75500
3.825000E+3,198.365000E-6,-510.219000E-6,76000
3.825000E+3,152.589000E-6,-478.746000E-6,76500
