B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.893000E+3,232.697000E-6,-2.362270E-3,0
3.893000E+3,22.888300E-6,-2.087610E-3,150
3.893000E+3,312.807000E-6,-1.261720E-3,300
3.893000E+3,228.883000E-6,-1.627930E-3,450
3.893000E+3,514.988000E-6,-2.602590E-3,600
3.893000E+3,-110.627000E-6,-2.358930E-3,750
3.893000E+3,171.662000E-6,-2.492920E-3,900
3.893000E+3,675.205000E-6,-2.313630E-3,1050
3.893000E+3,95.367900E-6,-2.186310E-3,1200
3.893000E+3,461.580000E-6,-2.692240E-3,1350
3.893000E+3,495.914000E-6,-1.820570E-3,1500
3.893000E+3,740.055000E-6,-2.399460E-3,1650
3.893000E+3,465.395000E-6,-2.289310E-3,1800
3.893000E+3,473.024000E-6,-1.805310E-3,1950
3.893000E+3,427.248000E-6,-2.461450E-3,2100
3.893000E+3,3.814730E-6,-2.099050E-3,2250
3.893000E+3,95.367900E-6,-1.969350E-3,2400
3.893000E+3,541.691000E-6,-2.571120E-3,2550
3.893000E+3,991.829000E-6,-1.749050E-3,2700
3.893000E+3,-213.624000E-6,-2.635970E-3,2850
3.893000E+3,343.325000E-6,-2.194420E-3,3000
3.893000E+3,476.839000E-6,-2.108590E-3,3150
3.893000E+3,148.774000E-6,-2.097620E-3,3300
3.893000E+3,446.321000E-6,-2.563970E-3,3450
3.893000E+3,507.358000E-6,-2.141970E-3,3600
3.893000E+3,438.692000E-6,-2.491970E-3,3750
3.893000E+3,289.919000E-6,-2.234950E-3,3900
3.893000E+3,-217.439000E-6,-1.554970E-3,4050
3.893000E+3,778.202000E-6,-2.372760E-3,4200
3.893000E+3,297.548000E-6,-1.824860E-3,4350
3.893000E+3,370.027000E-6,-1.706610E-3,4500
3.893000E+3,446.321000E-6,-2.801910E-3,4650
3.893000E+3,675.205000E-6,-2.193470E-3,4800
3.892000E+3,621.799000E-6,-2.580660E-3,4950
3.892000E+3,644.688000E-6,-2.268810E-3,5100
3.892000E+3,198.365000E-6,-2.089990E-3,5250
3.892000E+3,1.045230E-3,-1.931670E-3,5400
3.892000E+3,423.433000E-6,-2.080930E-3,5550
3.892000E+3,267.031000E-6,-2.234000E-3,5700
3.892000E+3,484.468000E-6,-2.549190E-3,5850
3.892000E+3,209.809000E-6,-1.626500E-3,6000
3.892000E+3,522.617000E-6,-1.966490E-3,6150
3.892000E+3,64.850300E-6,-2.415200E-3,6300
3.892000E+3,831.608000E-6,-1.933580E-3,6450
3.892000E+3,-114.441000E-6,-2.019900E-3,6600
3.892000E+3,263.216000E-6,-1.973170E-3,6750
3.892000E+3,514.988000E-6,-2.167720E-3,6900
3.892000E+3,194.550000E-6,-2.754230E-3,7050
3.892000E+3,-183.106000E-6,-2.525340E-3,7200
3.892000E+3,743.870000E-6,-2.854840E-3,7350
3.892000E+3,633.243000E-6,-2.207290E-3,7500
3.892000E+3,396.730000E-6,-2.549190E-3,7650
3.892000E+3,217.439000E-6,-2.278340E-3,7800
3.892000E+3,286.104000E-6,-1.941210E-3,7950
3.892000E+3,-308.992000E-6,-2.060430E-3,8100
3.892000E+3,144.959000E-6,-1.909740E-3,8250
3.892000E+3,76.294400E-6,-2.792850E-3,8400
3.892000E+3,-171.662000E-6,-2.367990E-3,8550
3.891000E+3,854.496000E-6,-2.587810E-3,8700
3.891000E+3,286.104000E-6,-2.366560E-3,8850
3.891000E+3,-129.701000E-6,-2.498640E-3,9000
3.891000E+3,160.218000E-6,-2.230660E-3,9150
3.891000E+3,923.160000E-6,-2.290740E-3,9300
3.891000E+3,316.622000E-6,-2.298850E-3,9450
3.891000E+3,453.951000E-6,-2.255930E-3,9600
3.891000E+3,26.703000E-6,-2.513900E-3,9750
3.891000E+3,-263.216000E-6,-2.275960E-3,9900
3.891000E+3,587.467000E-6,-2.482910E-3,10050
3.891000E+3,801.090000E-6,-2.075690E-3,10200
3.891000E+3,293.734000E-6,-2.825280E-3,10350
3.891000E+3,888.828000E-6,-2.950210E-3,10500
3.891000E+3,-7.629450E-6,-2.013700E-3,10650
3.891000E+3,1.049050E-3,-2.683180E-3,10800
3.891000E+3,343.325000E-6,-2.590190E-3,10950
3.891000E+3,263.216000E-6,-3.031270E-3,11100
3.891000E+3,30.517800E-6,-2.310770E-3,11250
3.891000E+3,270.845000E-6,-2.826230E-3,11400
3.891000E+3,423.433000E-6,-2.226370E-3,11550
3.891000E+3,389.101000E-6,-2.287880E-3,11700
3.891000E+3,640.873000E-6,-1.982230E-3,11850
3.891000E+3,-26.703000E-6,-1.735690E-3,12000
3.891000E+3,34.332500E-6,-2.427590E-3,12150
3.890000E+3,408.174000E-6,-2.757560E-3,12300
3.890000E+3,1.068120E-3,-2.949250E-3,12450
3.890000E+3,316.622000E-6,-2.237330E-3,12600
3.890000E+3,396.730000E-6,-1.844890E-3,12750
3.890000E+3,560.764000E-6,-1.881130E-3,12900
3.890000E+3,831.608000E-6,-1.946460E-3,13050
3.890000E+3,347.139000E-6,-2.234470E-3,13200
3.890000E+3,1.003270E-3,-1.994620E-3,13350
3.890000E+3,713.352000E-6,-2.316490E-3,13500
3.890000E+3,164.033000E-6,-2.202050E-3,13650
3.890000E+3,587.467000E-6,-2.754230E-3,13800
3.890000E+3,633.243000E-6,-2.208250E-3,13950
3.890000E+3,263.216000E-6,-1.922140E-3,14100
3.890000E+3,801.090000E-6,-2.036590E-3,14250
3.890000E+3,-732.426000E-6,-2.201100E-3,14400
3.890000E+3,72.479700E-6,-2.542990E-3,14550
3.890000E+3,-308.992000E-6,-1.302250E-3,14700
3.890000E+3,331.881000E-6,-2.388970E-3,14850
3.890000E+3,-49.591300E-6,-2.397550E-3,15000
3.890000E+3,-682.835000E-6,-1.860150E-3,15150
3.890000E+3,408.174000E-6,-2.350820E-3,15300
3.889000E+3,682.835000E-6,-2.545370E-3,15450
3.889000E+3,225.068000E-6,-2.523440E-3,15600
3.889000E+3,41.961900E-6,-1.948840E-3,15750
3.889000E+3,-164.033000E-6,-2.634060E-3,15900
3.889000E+3,720.982000E-6,-2.449530E-3,16050
3.889000E+3,-53.406000E-6,-2.362740E-3,16200
3.889000E+3,1.220710E-3,-2.465260E-3,16350
3.889000E+3,434.877000E-6,-2.285970E-3,16500
3.889000E+3,15.258900E-6,-1.735690E-3,16650
3.889000E+3,-171.662000E-6,-2.226840E-3,16800
3.889000E+3,534.061000E-6,-2.266420E-3,16950
3.889000E+3,-26.703000E-6,-1.628410E-3,17100
3.889000E+3,572.208000E-6,-1.656060E-3,17250
3.889000E+3,938.419000E-6,-1.451020E-3,17400
3.889000E+3,682.835000E-6,-2.348910E-3,17550
3.889000E+3,129.701000E-6,-2.528210E-3,17700
3.889000E+3,831.608000E-6,-1.844410E-3,17850
