B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.680000E+3,-1.609810E-3,-1.527320E-3,5100
3.679000E+3,-1.117710E-3,-1.379500E-3,5400
3.679000E+3,-1.369480E-3,-1.411450E-3,5700
3.679000E+3,-1.392370E-3,-1.842030E-3,6000
3.679000E+3,-862.125000E-6,-1.455790E-3,6300
3.679000E+3,-1.056680E-3,-1.204020E-3,6600
3.679000E+3,-1.087200E-3,-983.723000E-6,6900
3.679000E+3,-480.654000E-6,-2.094280E-3,7200
3.679000E+3,-1.163490E-3,-1.992240E-3,7500
3.679000E+3,-1.403820E-3,-1.562600E-3,7800
3.679000E+3,-1.037610E-3,-797.275000E-6,8100
3.679000E+3,-812.534000E-6,-854.496000E-6,8400
3.679000E+3,-759.128000E-6,-1.298910E-3,8700
3.678000E+3,-850.681000E-6,-1.760490E-3,9000
3.678000E+3,-705.723000E-6,-1.595980E-3,9300
3.678000E+3,-72.479700E-6,-1.284130E-3,9600
3.678000E+3,-816.349000E-6,-1.390460E-3,9900
3.678000E+3,-1.018530E-3,-1.415740E-3,10200
3.678000E+3,-740.055000E-6,-1.193530E-3,10500
3.678000E+3,-900.272000E-6,-1.396660E-3,10800
3.678000E+3,-869.755000E-6,-1.543530E-3,11100
3.678000E+3,-640.873000E-6,-1.384740E-3,11400
3.678000E+3,-251.772000E-6,-1.881610E-3,11700
3.678000E+3,-30.517800E-6,-1.326570E-3,12000
3.677000E+3,-820.164000E-6,-1.465800E-3,12300
3.677000E+3,-720.982000E-6,-1.612670E-3,12600
3.677000E+3,-217.439000E-6,-1.410010E-3,12900
3.677000E+3,-602.726000E-6,-1.749050E-3,13200
3.677000E+3,-45.776600E-6,-1.757150E-3,13500
3.677000E+3,-679.020000E-6,-1.396190E-3,13800
3.677000E+3,-148.774000E-6,-1.562600E-3,14100
3.677000E+3,-625.614000E-6,-1.987470E-3,14400
3.677000E+3,-980.385000E-6,-1.725680E-3,14700
3.677000E+3,-1.178750E-3,-1.674660E-3,15000
3.677000E+3,-225.068000E-6,-2.247350E-3,15300
3.677000E+3,-473.024000E-6,-1.450550E-3,15600
3.676000E+3,-736.240000E-6,-844.482000E-6,15900
3.676000E+3,-175.477000E-6,-1.806270E-3,16200
3.676000E+3,-331.881000E-6,-1.274120E-3,16500
3.676000E+3,-160.218000E-6,-1.809600E-3,16800
3.676000E+3,-762.943000E-6,-1.106750E-3,17100
3.676000E+3,-556.950000E-6,-1.358990E-3,17400
3.676000E+3,-137.330000E-6,-2.129570E-3,17700
3.676000E+3,-156.404000E-6,-2.010840E-3,18000
3.676000E+3,-522.617000E-6,-1.180180E-3,18300
3.676000E+3,-156.404000E-6,-1.613620E-3,18600
3.675000E+3,-385.286000E-6,-1.206410E-3,18900
3.675000E+3,530.247000E-6,-1.717570E-3,19200
3.675000E+3,-1.258860E-3,-1.246940E-3,19500
3.675000E+3,-366.213000E-6,-869.755000E-6,19800
3.675000E+3,-656.132000E-6,-1.516350E-3,20100
3.675000E+3,179.292000E-6,-1.514440E-3,20400
3.675000E+3,-385.286000E-6,-1.591210E-3,20700
3.675000E+3,91.553200E-6,-1.480590E-3,21000
3.675000E+3,22.888300E-6,-1.108180E-3,21300
3.675000E+3,76.294400E-6,-1.415260E-3,21600
3.675000E+3,-408.174000E-6,-1.185420E-3,21900
3.675000E+3,-282.289000E-6,-1.081470E-3,22200
3.674000E+3,-1.064310E-3,-1.724730E-3,22500
3.674000E+3,579.838000E-6,-1.491550E-3,22800
3.674000E+3,774.387000E-6,-990.875000E-6,23100
3.674000E+3,-255.587000E-6,-1.397620E-3,23400
3.674000E+3,431.063000E-6,-1.130590E-3,23700
3.674000E+3,-247.957000E-6,-782.494000E-6,24000
3.674000E+3,-339.510000E-6,-1.605040E-3,24300
3.674000E+3,-1.117710E-3,-963.215000E-6,24600
