B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.590000E+3,7.514980E-3,1.806270E-3,0
3.590000E+3,7.530240E-3,1.811990E-3,10
3.590000E+3,7.545500E-3,1.818660E-3,20
3.590000E+3,7.545500E-3,1.825340E-3,30
3.590000E+3,7.553130E-3,1.833920E-3,40
3.590000E+3,7.560760E-3,1.840600E-3,50
3.590000E+3,7.560760E-3,1.849180E-3,60
3.590000E+3,7.560760E-3,1.860630E-3,70
3.590000E+3,7.560760E-3,1.871120E-3,80
3.590000E+3,7.553130E-3,1.884470E-3,90
3.590000E+3,7.545500E-3,1.896870E-3,100
3.590000E+3,7.537870E-3,1.904500E-3,110
3.590000E+3,7.522610E-3,1.915940E-3,120
3.590000E+3,7.499720E-3,1.928340E-3,130
3.590000E+3,7.484470E-3,1.935970E-3,140
3.590000E+3,7.461580E-3,1.942640E-3,150
3.590000E+3,7.446320E-3,1.947410E-3,160
3.590000E+3,7.415800E-3,1.950270E-3,170
3.590000E+3,7.392910E-3,1.952180E-3,180
3.590000E+3,7.377650E-3,1.953140E-3,190
3.590000E+3,7.354770E-3,1.951230E-3,200
3.590000E+3,7.331880E-3,1.949320E-3,210
3.590000E+3,7.308990E-3,1.945500E-3,220
3.590000E+3,7.286100E-3,1.937870E-3,230
3.590000E+3,7.270840E-3,1.932150E-3,240
3.590000E+3,7.255580E-3,1.924520E-3,250
3.590000E+3,7.240330E-3,1.917850E-3,260
3.590000E+3,7.240330E-3,1.912120E-3,270
3.590000E+3,7.232700E-3,1.904500E-3,280
3.590000E+3,7.232700E-3,1.894960E-3,290
3.590000E+3,7.232700E-3,1.886380E-3,300
3.590000E+3,7.232700E-3,1.875880E-3,310
3.590000E+3,7.240330E-3,1.864440E-3,320
3.590000E+3,7.255580E-3,1.853000E-3,330
3.590000E+3,7.270840E-3,1.839650E-3,340
3.590000E+3,7.286100E-3,1.822480E-3,350
3.590000E+3,7.301360E-3,1.807220E-3,360
3.590000E+3,7.324250E-3,1.792920E-3,370
3.590000E+3,7.339510E-3,1.777660E-3,380
3.590000E+3,7.362400E-3,1.767170E-3,390
3.590000E+3,7.385280E-3,1.752860E-3,400
3.590000E+3,7.400540E-3,1.736650E-3,410
3.590000E+3,7.423430E-3,1.721390E-3,420
3.590000E+3,7.446320E-3,1.706130E-3,430
3.590000E+3,7.453950E-3,1.689920E-3,440
3.590000E+3,7.469210E-3,1.673710E-3,450
3.590000E+3,7.484470E-3,1.657490E-3,460
3.590000E+3,7.499720E-3,1.636510E-3,470
3.590000E+3,7.499720E-3,1.621250E-3,480
3.590000E+3,7.507350E-3,1.609810E-3,490
3.590000E+3,7.514980E-3,1.595500E-3,500
3.590000E+3,7.522610E-3,1.583110E-3,510
3.590000E+3,7.530240E-3,1.569760E-3,520
3.590000E+3,7.537870E-3,1.558310E-3,530
3.590000E+3,7.545500E-3,1.548770E-3,540
3.590000E+3,7.545500E-3,1.538280E-3,550
3.590000E+3,7.560760E-3,1.532560E-3,560
3.590000E+3,7.568390E-3,1.529700E-3,570
3.590000E+3,7.576020E-3,1.526840E-3,580
