B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.534000E+3,1.129160E-3,-1.242650E-3,9600
3.534000E+3,762.943000E-6,-959.400000E-6,9900
3.534000E+3,328.066000E-6,-801.090000E-6,10200
3.534000E+3,122.071000E-6,-541.691000E-6,10500
3.534000E+3,38.147200E-6,-336.649000E-6,10800
3.534000E+3,-312.807000E-6,-1.010900E-3,11100
3.534000E+3,-579.838000E-6,-1.048100E-3,11400
3.534000E+3,-68.665000E-6,-343.325000E-6,11700
3.534000E+3,244.142000E-6,-576.023000E-6,12000
3.534000E+3,656.132000E-6,-526.432000E-6,12300
3.534000E+3,221.253000E-6,-800.136000E-6,12600
3.534000E+3,-450.136000E-6,-436.785000E-6,12900
3.535000E+3,-373.842000E-6,-223.161000E-6,13200
3.535000E+3,-686.649000E-6,-574.116000E-6,13500
3.535000E+3,785.831000E-6,-887.875000E-6,13800
3.535000E+3,617.985000E-6,-624.660000E-6,14100
3.535000E+3,-175.477000E-6,-857.357000E-6,14400
3.535000E+3,679.020000E-6,-1.240740E-3,14700
3.535000E+3,274.660000E-6,-557.903000E-6,15000
3.535000E+3,-53.406000E-6,-1.023300E-3,15300
3.535000E+3,0.000000E+0,-470.163000E-6,15600
3.535000E+3,99.182600E-6,-531.200000E-6,15900
3.536000E+3,396.730000E-6,-808.720000E-6,16200
3.536000E+3,587.467000E-6,-410.082000E-6,16500
3.536000E+3,1.075750E-3,-976.570000E-6,16800
3.536000E+3,457.766000E-6,-700.001000E-6,17100
3.536000E+3,938.419000E-6,-552.181000E-6,17400
3.536000E+3,1.899730E-3,-70.572400E-6,17700
3.536000E+3,892.643000E-6,-166.894000E-6,18000
3.536000E+3,2.563490E-3,-669.483000E-6,18300
3.536000E+3,1.937870E-3,-612.263000E-6,18600
3.536000E+3,2.014180E-3,-538.830000E-6,18900
3.536000E+3,2.052320E-3,-569.347000E-6,19200
3.536000E+3,2.456680E-3,-229.836000E-6,19500
3.536000E+3,3.112810E-3,200.273000E-6,19800
3.537000E+3,3.326430E-3,-341.417000E-6,20100
3.537000E+3,3.807080E-3,-596.050000E-6,20400
3.537000E+3,3.326430E-3,-541.691000E-6,20700
3.537000E+3,3.906280E-3,-658.993000E-6,21000
3.537000E+3,4.852320E-3,-664.715000E-6,21300
3.537000E+3,5.394010E-3,-944.141000E-6,21600
3.537000E+3,6.660490E-3,-713.352000E-6,21900
3.537000E+3,6.958040E-3,-423.433000E-6,22200
3.537000E+3,8.110110E-3,-165.940000E-6,22500
3.537000E+3,9.033260E-3,-305.178000E-6,22800
3.537000E+3,9.162960E-3,-760.082000E-6,23100
3.537000E+3,11.459400E-3,-355.722000E-6,23400
3.537000E+3,12.367300E-3,-994.690000E-6,23700
3.538000E+3,14.633200E-3,-774.387000E-6,24000
3.538000E+3,15.968400E-3,-542.644000E-6,24300
3.538000E+3,19.119400E-3,-309.946000E-6,24600
3.538000E+3,20.858900E-3,-294.687000E-6,24900
3.538000E+3,24.826200E-3,-764.851000E-6,25200
3.538000E+3,28.564600E-3,-963.215000E-6,25500
3.538000E+3,32.554900E-3,-455.858000E-6,25800
3.538000E+3,38.391400E-3,-724.796000E-6,26100
3.538000E+3,43.808200E-3,-822.071000E-6,26400
3.538000E+3,50.438200E-3,-1.133930E-3,26700
3.538000E+3,58.212500E-3,-518.803000E-6,27000
3.538000E+3,66.383800E-3,-1.009950E-3,27300
3.538000E+3,74.867700E-3,-862.125000E-6,27600
3.539000E+3,82.817600E-3,-598.911000E-6,27900
3.539000E+3,91.469300E-3,-1.143460E-3,28200
3.539000E+3,99.632700E-3,-1.390460E-3,28500
3.539000E+3,106.720000E-3,-293.734000E-6,28800
3.539000E+3,111.870000E-3,-356.676000E-6,29100
3.539000E+3,114.884000E-3,-208.856000E-6,29400
3.539000E+3,115.830000E-3,-443.460000E-6,29700
3.539000E+3,113.945000E-3,-757.221000E-6,30000
3.539000E+3,109.330000E-3,-509.266000E-6,30300
3.539000E+3,102.578000E-3,-476.839000E-6,30600
3.539000E+3,92.567900E-3,-85.831200E-6,30900
3.539000E+3,81.726600E-3,680.927000E-6,31200
3.540000E+3,68.985500E-3,-764.851000E-6,31500
3.540000E+3,53.413600E-3,71.526000E-6,31800
3.540000E+3,38.627900E-3,143.052000E-6,32100
3.540000E+3,22.178800E-3,-224.114000E-6,32400
3.540000E+3,7.270840E-3,-24.795600E-6,32700
3.540000E+3,-8.850160E-3,-432.016000E-6,33000
3.540000E+3,-21.789700E-3,-95.367900E-6,33300
3.540000E+3,-35.370100E-3,-270.845000E-6,33600
3.540000E+3,-46.478500E-3,33.378800E-6,33900
3.540000E+3,-55.458300E-3,-174.523000E-6,34200
3.540000E+3,-63.545700E-3,-334.742000E-6,34500
3.541000E+3,-68.199600E-3,-503.544000E-6,34800
3.541000E+3,-72.365300E-3,553.135000E-6,35100
3.541000E+3,-75.165300E-3,-142.098000E-6,35400
3.541000E+3,-75.363600E-3,68.665000E-6,35700
3.541000E+3,-75.020300E-3,-819.210000E-6,36000
3.541000E+3,-73.372400E-3,-436.785000E-6,36300
3.541000E+3,-71.182700E-3,112.534000E-6,36600
3.541000E+3,-68.642100E-3,197.412000E-6,36900
3.541000E+3,-65.544600E-3,-326.158000E-6,37200
3.541000E+3,-62.378200E-3,-876.430000E-6,37500
3.541000E+3,-58.456700E-3,-128.747000E-6,37800
3.541000E+3,-54.260500E-3,190.736000E-6,38100
3.542000E+3,-50.957000E-3,-62.943000E-6,38400
3.542000E+3,-47.012600E-3,-443.460000E-6,38700
3.542000E+3,-42.579900E-3,-180.245000E-6,39000
3.542000E+3,-39.726500E-3,-946.049000E-6,39300
3.542000E+3,-36.484000E-3,-590.328000E-6,39600
3.542000E+3,-33.226300E-3,-14.305200E-6,39900
3.542000E+3,-30.182000E-3,20.981000E-6,40200
3.542000E+3,-27.351500E-3,-563.625000E-6,40500
3.542000E+3,-25.245800E-3,-100.136000E-6,40800
3.542000E+3,-22.895900E-3,-1.261720E-3,41100
3.542000E+3,-20.759700E-3,-500.683000E-6,41400
3.542000E+3,-19.119400E-3,-489.239000E-6,41700
3.543000E+3,-17.852900E-3,135.423000E-6,42000
3.543000E+3,-15.976100E-3,-654.224000E-6,42300
3.543000E+3,-14.770600E-3,-780.109000E-6,42600
3.543000E+3,-12.687700E-3,-636.104000E-6,42900
3.543000E+3,-11.886700E-3,-633.243000E-6,43200
3.543000E+3,-10.933000E-3,-657.085000E-6,43500
3.543000E+3,-9.895380E-3,-737.194000E-6,43800
3.543000E+3,-8.934080E-3,18.119900E-6,44100
3.543000E+3,-7.927000E-3,-595.096000E-6,44400
3.543000E+3,-7.659940E-3,-41.961900E-6,44700
3.543000E+3,-7.293730E-3,-416.758000E-6,45000
3.543000E+3,-6.042510E-3,3.814730E-6,45300
3.544000E+3,-5.493190E-3,-255.587000E-6,45600
3.544000E+3,-4.470850E-3,255.587000E-6,45900
