B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.59E+03,1.14E-02,5.82E-05,90
3.59E+03,1.14E-02,6.77E-05,100
3.59E+03,1.14E-02,7.25E-05,110
3.59E+03,1.14E-02,8.49E-05,130
3.59E+03,1.14E-02,9.16E-05,140
3.59E+03,1.14E-02,9.82E-05,150
3.59E+03,1.15E-02,1.08E-04,170
3.59E+03,1.45E-02,1.11E-04,180
3.59E+03,1.15E-02,1.14E-04,190
3.59E+03,1.46E-02,1.16E-04,200
3.59E+03,1.15E-02,1.18E-04,210
3.59E+03,1.15E-02,1.19E-04,220
3.59E+03,1.15E-02,1.18E-04,230
3.59E+03,1.15E-02,1.17E-04,240
3.59E+03,1.15E-02,1.14E-04,250
3.59E+03,1.15E-02,1.11E-04,260
3.59E+03,1.15E-02,1.07E-04,270
3.59E+03,1.15E-02,1.02E-04,280
3.59E+03,1.15E-02,9.73E-05,290
3.59E+03,1.15E-02,9.06E-05,300
3.59E+03,1.15E-02,8.30E-05,310
3.59E+03,1.15E-02,7.53E-05,320
3.59E+03,1.15E-02,6.58E-05,330
3.59E+03,1.15E-02,6.10E-05,340
3.59E+03,1.15E-02,5.44E-05,350
3.59E+03,1.15E-02,4.67E-05,360
3.59E+03,1.15E-02,3.91E-05,370
3.59E+03,1.15E-02,3.43E-05,380
3.59E+03,1.15E-02,2.77E-05,390
3.59E+03,1.15E-02,2.00E-05,400
3.59E+03,1.15E-02,1.05E-05,410
3.59E+03,1.15E-02,3.81E-06,420
3.59E+03,1.15E-02,-2.86E-06,430
3.59E+03,1.15E-02,-1.05E-05,440
3.59E+03,1.15E-02,-1.72E-05,450
3.59E+03,1.15E-02,-2.38E-05,460
3.59E+03,1.15E-02,-3.05E-05,470
3.59E+03,1.15E-02,-3.72E-05,480
3.59E+03,1.14E-02,-4.48E-05,490
3.59E+03,1.14E-02,-5.15E-05,500
3.59E+03,1.14E-02,-5.72E-05,510
3.59E+03,1.14E-02,-6.49E-05,520
3.59E+03,1.14E-02,-6.96E-05,530
3.59E+03,1.14E-02,-7.44E-05,540
3.59E+03,1.14E-02,-7.82E-05,550
3.59E+03,1.14E-02,-8.21E-05,560
3.59E+03,1.14E-02,-8.49E-05,570
3.59E+03,1.14E-02,-8.68E-05,580
3.59E+03,1.14E-02,-8.77E-05,590
3.59E+03,1.14E-02,-8.87E-05,600
3.59E+03,1.14E-02,-8.87E-05,610
3.59E+03,1.14E-02,-8.77E-05,620
3.59E+03,1.13E-02,-8.68E-05,630
3.59E+03,1.13E-02,-8.58E-05,640
3.59E+03,1.13E-02,-8.49E-05,650
3.59E+03,1.13E-02,-8.30E-05,660
3.59E+03,1.13E-02,-8.20E-05,670
3.59E+03,1.13E-02,-8.01E-05,680
3.59E+03,1.13E-02,-7.92E-05,690
3.59E+03,1.13E-02,-7.72E-05,700
3.59E+03,1.13E-02,-7.44E-05,710
3.59E+03,1.13E-02,-7.06E-05,720
3.59E+03,1.13E-02,-6.68E-05,730
3.59E+03,1.13E-02,-6.10E-05,740
3.59E+03,1.12E-02,-5.44E-05,750
3.59E+03,1.13E-02,-4.59E-05,760
3.59E+03,1.13E-02,-4.48E-05,770
3.59E+03,1.13E-02,-3.91E-05,780
3.59E+03,1.13E-02,-3.24E-05,790
3.59E+03,1.13E-02,-2.67E-05,800
3.59E+03,1.13E-02,-2.19E-05,810
3.59E+03,1.13E-02,-1.34E-05,820
3.59E+03,1.13E-02,-6.68E-06,830
3.59E+03,1.13E-02,1.91E-06,840
3.59E+03,1.13E-02,1.05E-05,850
3.59E+03,1.14E-02,1.72E-05,860
3.59E+03,1.14E-02,2.38E-05,870
3.59E+03,1.14E-02,3.05E-05,880
3.59E+03,1.14E-02,3.72E-05,890
3.59E+03,1.14E-02,4.29E-05,900
3.59E+03,1.15E-02,4.86E-05,910
3.59E+03,1.15E-02,5.25E-05,920
3.59E+03,1.15E-02,5.72E-05,930
3.59E+03,1.15E-02,6.20E-05,940
3.59E+03,1.16E-02,6.39E-05,950
3.59E+03,1.16E-02,6.68E-05,960
3.59E+03,1.16E-02,6.87E-05,970
3.59E+03,1.17E-02,7.06E-05,980
3.59E+03,1.17E-02,7.06E-05,990
3.59E+03,1.17E-02,7.15E-05,1000
3.59E+03,1.17E-02,7.25E-05,1010
3.59E+03,1.18E-02,7.25E-05,1020
3.59E+03,1.18E-02,7.25E-05,1030
3.59E+03,1.18E-02,7.15E-05,1040
3.59E+03,1.19E-02,7.06E-05,1050
3.59E+03,1.19E-02,6.96E-05,1060
3.59E+03,1.19E-02,6.77E-05,1070
3.59E+03,1.20E-02,6.58E-05,1080
3.59E+03,1.20E-02,6.29E-05,1090
3.59E+03,1.20E-02,5.91E-05,1100
3.59E+03,1.21E-02,5.63E-05,1110
3.59E+03,1.21E-02,5.25E-05,1120
3.59E+03,1.21E-02,4.96E-05,1130
3.59E+03,1.22E-02,4.58E-05,1140
3.59E+03,1.22E-02,4.29E-05,1150
3.59E+03,1.22E-02,3.91E-05,1160
3.59E+03,1.23E-02,3.62E-05,1170
3.59E+03,1.23E-02,3.43E-05,1180
3.59E+03,1.23E-02,3.24E-05,1190
3.59E+03,1.24E-02,3.24E-05,1200
3.59E+03,1.24E-02,3.24E-05,1210
3.59E+03,1.24E-02,3.34E-05,1220
3.59E+03,1.25E-02,3.53E-05,1230
3.59E+03,1.25E-02,3.91E-05,1240
3.59E+03,1.25E-02,4.39E-05,1250
3.59E+03,1.26E-02,4.86E-05,1260
3.59E+03,1.26E-02,5.53E-05,1270
3.59E+03,1.26E-02,6.20E-05,1280
3.59E+03,1.27E-02,7.06E-05,1290
3.59E+03,1.27E-02,7.82E-05,1300
3.59E+03,1.28E-02,8.68E-05,1310
3.59E+03,1.28E-02,9.73E-05,1320
3.59E+03,1.29E-02,1.12E-04,1330
3.59E+03,1.29E-02,1.22E-04,1340
3.59E+03,1.29E-02,1.34E-04,1350
3.59E+03,1.30E-02,1.45E-04,1360
3.59E+03,1.30E-02,1.55E-04,1370
3.59E+03,1.31E-02,1.69E-04,1380
3.59E+03,1.31E-02,1.79E-04,1390
3.59E+03,1.31E-02,1.90E-04,1400
3.59E+03,1.32E-02,2.01E-04,1410
3.59E+03,1.32E-02,2.12E-04,1420
3.59E+03,1.33E-02,2.21E-04,1430
3.59E+03,1.33E-02,2.31E-04,1440
3.59E+03,1.34E-02,2.38E-04,1450
3.59E+03,1.34E-02,2.48E-04,1460
3.59E+03,1.35E-02,2.57E-04,1470
3.59E+03,1.35E-02,2.64E-04,1480
3.59E+03,1.36E-02,2.72E-04,1490
3.59E+03,1.36E-02,2.78E-04,1500
3.59E+03,1.36E-02,2.85E-04,1510
3.59E+03,1.37E-02,2.92E-04,1520
3.59E+03,1.37E-02,2.98E-04,1530
3.59E+03,1.38E-02,3.04E-04,1540
3.59E+03,1.38E-02,3.10E-04,1550
3.59E+03,1.39E-02,3.14E-04,1560
3.59E+03,1.39E-02,3.19E-04,1570
3.59E+03,1.40E-02,3.23E-04,1580
3.59E+03,1.40E-02,3.27E-04,1590
3.59E+03,1.41E-01,3.32E-04,1600
3.59E+03,1.41E-02,3.35E-04,1610
3.59E+03,1.42E-02,3.37E-04,1620
3.59E+03,1.42E-02,3.39E-04,1630
3.59E+03,1.43E-02,3.40E-04,1640
3.59E+03,1.43E-02,3.40E-04,1650
3.59E+03,1.43E-02,3.40E-04,1660
3.59E+03,1.44E-02,3.40E+05,1670
3.59E+03,1.44E-02,3.40E-04,1680
3.59E+03,1.45E-02,3.39E-04,1690
3.59E+03,1.45E-02,3.37E-04,1700
3.59E+03,1.46E-02,3.34E-04,1710
3.59E+03,1.46E-02,3.32E-04,1720
3.59E+03,1.46E-02,3.27E-04,1730
3.59E+03,1.47E-02,3.24E-04,1740
3.59E+03,1.47E-02,3.20E-04,1750
3.59E+03,1.48E-02,3.17E-04,1760
3.59E+03,1.48E-02,3.12E-04,1770
3.59E+03,1.49E-02,3.07E-04,1780
3.59E+03,1.49E-02,3.03E-04,1790
3.59E+03,1.50E-02,2.99E-04,1800
3.59E+03,1.50E-02,2.95E-04,1810
3.59E+03,1.50E-02,2.90E-04,1820
3.59E+03,1.51E-02,2.86E-04,1830
3.59E+03,1.51E-02,2.81E-04,1840
3.59E+03,1.52E-02,2.77E-04,1850
3.59E+03,1.53E-02,2.72E-04,1860
3.59E+03,1.53E-02,2.68E-04,1870
3.59E+03,5.35E-02,2.65E-04,1880
3.59E+03,1.54E-02,2.61E-04,1890
3.59E+03,1.55E-02,2.58E-04,1900
3.59E+03,1.55E-02,2.56E-04,1910
3.59E+03,1.56E-02,2.53E-04,1920
3.59E+03,1.56E-02,2.50E-04,1930
3.59E+03,1.57E-02,2.48E-04,1940
3.59E+03,1.57E-02,2.46E-04,1950
3.59E+03,1.58E-02,2.44E-04,1960
3.59E+03,1.58E-02,2.42E-04,1970
3.59E+03,1.59E-02,2.40E-04,1980
3.59E+03,1.60E-02,2.38E-04,1990
3.59E+03,1.60E-02,2.37E-04,2000
3.59E+03,1.61E-02,2.37E-04,2010
3.59E+03,1.61E-02,2.35E-04,2020
3.59E+03,1.62E-02,2.35E-04,2030
3.59E+03,1.63E-02,2.34E-04,2040
3.59E+03,1.63E-02,2.33E-04,2050
3.59E+03,1.64E-02,2.32E-04,2060
3.59E+03,1.64E-02,2.31E-04,2070
3.59E+03,1.65E-02,2.30E-04,2080
3.59E+03,1.65E-02,2.28E-04,2090
3.59E+03,1.66E-02,2.26E-04,2100
3.59E+03,1.66E-02,2.25E-04,2110
