B [Gauss],X  [Volt],Y  [Volt], time [ms]
3.806000E+3,301.363000E-6,-243.188000E-6,0
3.806000E+3,583.652000E-6,63.896600E-6,150
3.806000E+3,476.839000E-6,-135.423000E-6,300
3.806000E+3,659.946000E-6,-915.054000E-6,450
3.806000E+3,1.102450E-3,-730.041000E-6,600
3.806000E+3,682.835000E-6,-492.577000E-6,750
3.806000E+3,553.135000E-6,-851.158000E-6,900
3.806000E+3,823.978000E-6,-315.191000E-6,1050
3.806000E+3,686.649000E-6,-619.892000E-6,1200
3.806000E+3,602.726000E-6,-716.690000E-6,1350
3.806000E+3,415.804000E-6,-425.817000E-6,1500
3.805000E+3,362.398000E-6,-329.020000E-6,1650
3.805000E+3,308.992000E-6,-280.382000E-6,1800
3.805000E+3,961.307000E-6,-177.861000E-6,1950
3.805000E+3,370.027000E-6,172.616000E-6,2100
3.805000E+3,522.617000E-6,-410.082000E-6,2250
3.805000E+3,473.024000E-6,-747.684000E-6,2400
3.805000E+3,823.978000E-6,-174.046000E-6,2550
3.805000E+3,869.755000E-6,-497.822000E-6,2700
3.805000E+3,236.512000E-6,-409.605000E-6,2850
3.805000E+3,492.100000E-6,-399.115000E-6,3000
3.805000E+3,-76.294400E-6,-462.534000E-6,3150
3.805000E+3,377.657000E-6,-762.466000E-6,3300
3.805000E+3,579.838000E-6,84.400600E-6,3450
3.805000E+3,-114.441000E-6,-222.684000E-6,3600
3.805000E+3,68.665000E-6,89.645900E-6,3750
3.805000E+3,-190.736000E-6,-194.074000E-6,3900
3.805000E+3,247.957000E-6,427.725000E-6,4050
3.805000E+3,267.031000E-6,-288.012000E-6,4200
3.805000E+3,57.220700E-6,-526.432000E-6,4350
3.805000E+3,259.401000E-6,-947.956000E-6,4500
3.805000E+3,869.755000E-6,-216.962000E-6,4650
3.805000E+3,770.573000E-6,-249.388000E-6,4800
3.805000E+3,183.106000E-6,375.273000E-6,4950
3.804000E+3,633.243000E-6,107.289000E-6,5100
3.804000E+3,633.243000E-6,-311.377000E-6,5250
3.804000E+3,427.248000E-6,-535.969000E-6,5400
3.804000E+3,114.441000E-6,30.517800E-6,5550
3.804000E+3,614.170000E-6,-549.320000E-6,5700
3.804000E+3,263.216000E-6,-909.809000E-6,5850
3.804000E+3,209.809000E-6,-500.683000E-6,6000
3.804000E+3,186.921000E-6,-742.439000E-6,6150
3.804000E+3,316.622000E-6,-510.696000E-6,6300
3.804000E+3,659.946000E-6,-36.239900E-6,6450
3.804000E+3,1.010900E-3,-564.102000E-6,6600
